Date,APPLE,TESLA,AMAZON,VISA,SP500
2020-01-02,74.33,86.05,1898.01,189.66,3257.85
2020-01-03,73.61,88.6,1874.97,188.15,3234.85
2020-01-06,74.2,90.31,1902.88,187.74,3246.28
2020-01-07,73.85,93.81,1906.86,187.24,3237.18
2020-01-08,75.04,98.43,1891.97,190.45,3253.05
2020-01-09,76.63,96.27,1901.05,191.77,3274.7
2020-01-10,76.8,95.63,1883.16,192.29,3265.35
2020-01-13,78.44,104.97,1891.3,193.83,3288.13
2020-01-14,77.39,107.58,1869.44,194.55,3283.15
2020-01-15,77.05,103.7,1862.02,198.27,3289.29
2020-01-16,78.02,102.7,1877.94,199.41,3316.81
2020-01-17,78.88,102.1,1864.72,203.13,3329.62
2020-01-21,78.35,109.44,1892,205.7,3320.79
2020-01-22,78.63,113.91,1887.46,206.31,3321.75
2020-01-23,79.01,114.44,1884.58,204.94,3325.54
2020-01-24,78.78,112.96,1861.64,203.43,3295.47
2020-01-27,76.46,111.6,1828.34,200.15,3243.63
2020-01-28,78.62,113.38,1853.25,201.3,3276.24
2020-01-29,80.27,116.2,1858,203.29,3273.4
2020-01-30,80.15,128.16,1870.68,206.62,3283.66
2020-01-31,76.6,130.11,2008.72,197.45,3225.52
2020-02-03,76.39,156,2004.2,199.27,3248.92
2020-02-04,78.91,177.41,2049.67,202,3297.59
2020-02-05,79.56,146.94,2039.87,201.26,3334.69
2020-02-06,80.49,149.79,2050.23,201.49,3345.78
2020-02-07,79.39,149.61,2079.28,201.19,3327.71
2020-02-10,79.77,154.26,2133.91,204.41,3352.09
2020-02-11,79.29,154.88,2150.8,202.38,3357.75
2020-02-12,81.17,153.46,2160,205.85,3379.45
2020-02-13,80.59,160.8,2149.87,206.11,3373.94
2020-02-14,80.61,160.01,2134.87,208.98,3380.16
2020-02-18,79.14,171.68,2155.67,209.89,3370.29
2020-02-19,80.28,183.48,2170.22,211.98,3386.15
2020-02-20,79.46,179.88,2153.1,210.13,3373.23
2020-02-21,77.66,180.2,2095.97,207.51,3337.75
2020-02-24,73.97,166.76,2009.29,197.55,3225.89
2020-02-25,71.47,159.98,1972.74,187.23,3128.21
2020-02-26,72.6,155.76,1979.59,186.05,3116.39
2020-02-27,67.85,135.8,1884.3,178.89,2978.76
2020-02-28,67.81,133.6,1883.75,180.63,2954.22
2020-03-02,74.13,148.72,1953.95,191.13,3090.23
2020-03-03,71.77,149.1,1908.99,184.57,3003.37
2020-03-04,75.1,149.9,1975.83,193.08,3130.12
2020-03-05,72.67,144.91,1924.03,185.8,3023.94
2020-03-06,71.7,140.7,1901.09,183.21,2972.37
2020-03-09,66.03,121.6,1800.61,170.07,2746.56
2020-03-10,70.79,129.07,1891.82,181.46,2882.23
2020-03-11,68.33,126.85,1820.86,171.87,2741.38
2020-03-12,61.58,112.11,1676.61,159.08,2480.64
2020-03-13,68.96,109.32,1785,174.74,2711.02
2020-03-16,60.09,89.01,1689.15,151.06,2386.13
2020-03-17,62.73,86.04,1807.84,156.91,2529.19
2020-03-18,61.19,72.24,1830,147.56,2398.1
2020-03-19,60.72,85.53,1880.93,151.3,2409.39
2020-03-20,56.87,85.51,1846.09,145.92,2304.92
2020-03-23,55.66,86.86,1902.83,134.9,2237.4
2020-03-24,61.25,101,1940.1,153.57,2447.33
2020-03-25,60.91,107.85,1885.84,160.77,2475.56
2020-03-26,64.11,105.63,1955.49,167.83,2630.07
2020-03-27,61.46,102.87,1900.1,160.55,2541.47
2020-03-30,63.21,100.43,1963.95,164.54,2626.65
2020-03-31,63.08,104.8,1949.72,160.12,2584.59
2020-04-01,59.76,96.31,1907.7,152.16,2470.5
2020-04-02,60.76,90.89,1918.83,156.41,2526.9
2020-04-03,59.89,96,1906.59,150.91,2488.65
2020-04-06,65.11,103.25,1997.59,168.39,2663.68
2020-04-07,64.36,109.09,2011.6,167.54,2659.41
2020-04-08,66.01,109.77,2043,173.85,2749.98
2020-04-09,66.48,114.6,2042.76,172.61,2789.82
2020-04-13,67.79,130.19,2168.87,167.94,2761.63
2020-04-14,71.21,141.98,2283.32,173.53,2846.06
2020-04-15,70.56,145.97,2307.68,164.93,2783.36
2020-04-16,71.12,149.04,2408.19,161.41,2799.55
2020-04-17,70.16,150.78,2375,168.49,2874.56
2020-04-20,68.7,149.27,2393.61,163.2,2823.16
2020-04-21,66.58,137.34,2328.12,159.53,2736.56
2020-04-22,68.49,146.42,2363.49,165.55,2799.31
2020-04-23,68.23,141.13,2399.45,165.34,2797.8
2020-04-24,70.2,145.03,2410.22,166.28,2836.74
2020-04-27,70.25,159.75,2376,170.69,2878.48
2020-04-28,69.11,153.82,2314.08,170.18,2863.39
2020-04-29,71.38,160.1,2372.71,180.66,2939.51
2020-04-30,72.89,156.38,2474,177.61,2912.43
2020-05-01,71.71,140.26,2286.04,174.48,2830.71
2020-05-04,72.73,152.24,2315.99,175.05,2842.74
2020-05-05,73.82,153.64,2317.8,177.33,2868.44
2020-05-06,74.58,156.52,2351.26,177.67,2848.42
2020-05-07,75.35,156.01,2367.61,181.58,2881.19
2020-05-08,77.14,163.88,2379.61,183.94,2929.8
2020-05-11,78.36,162.26,2409,182.42,2930.19
2020-05-12,77.46,161.88,2356.95,178.35,2870.12
2020-05-13,76.53,158.19,2367.92,176.28,2820
2020-05-14,77,160.67,2388.85,180.08,2852.5
2020-05-15,76.54,159.83,2409.78,182.65,2863.7
2020-05-18,78.35,162.73,2426.26,190.51,2953.91
2020-05-19,77.89,161.6,2449.33,188.5,2922.94
2020-05-20,79.41,163.11,2497.94,192.98,2971.61
2020-05-21,78.82,165.52,2446.74,189.75,2948.51
2020-05-22,79.32,163.38,2436.88,189.99,2955.45
2020-05-26,78.79,163.77,2421.86,192.34,2991.77
2020-05-27,79.13,164.05,2410.39,191.94,3036.13
2020-05-28,79.16,161.16,2401.1,193.37,3029.73
2020-05-29,79.09,167,2442.37,194.35,3044.31
2020-06-01,80.06,179.62,2471.04,193.46,3055.73
2020-06-02,80.43,176.31,2472.41,195.47,3080.82
2020-06-03,80.87,176.59,2478.4,195.97,3122.87
2020-06-04,80.18,172.88,2460.6,192.76,3112.35
2020-06-05,82.46,177.13,2483,198.7,3193.93
2020-06-08,82.95,189.98,2524.06,198.69,3232.39
2020-06-09,85.57,188.13,2600.86,198.17,3207.18
2020-06-10,87.77,205.01,2647.45,199.57,3190.14
2020-06-11,83.55,194.57,2557.96,188.02,3002.1
2020-06-12,84.28,187.06,2545.02,191.38,3041.31
2020-06-15,85.32,198.18,2572.68,190.89,3066.59
2020-06-16,87.58,196.43,2615.27,192,3124.74
2020-06-17,87.46,198.36,2640.98,192.68,3113.49
2020-06-18,87.49,200.79,2653.98,193.03,3115.34
2020-06-19,86.99,200.18,2675.01,191.32,3097.74
2020-06-22,89.27,198.86,2713.82,194.07,3117.86
2020-06-23,91.17,200.36,2764.41,197.07,3131.29
2020-06-24,89.56,192.17,2734.4,190.54,3050.33
2020-06-25,90.75,197.2,2754.58,193.1,3083.76
2020-06-26,87.96,191.95,2692.87,188.41,3009.05
2020-06-29,89.99,201.87,2680.38,190.51,3053.24
2020-06-30,90.74,215.96,2758.82,192.29,3100.29
2020-07-01,90.57,223.93,2878.7,192.9,3115.86
2020-07-02,90.57,241.73,2890.3,194.78,3130.01
2020-07-06,92.99,274.32,3057.04,196.86,3179.72
2020-07-07,92.71,277.97,3000.12,193.32,3145.32
2020-07-08,94.87,273.18,3081.11,194.18,3169.94
2020-07-09,95.27,278.86,3182.63,191.33,3152.05
2020-07-10,95.44,308.93,3200,191.67,3185.04
2020-07-13,95,299.41,3104,188.16,3155.22
2020-07-14,96.57,303.36,3084,192.45,3197.52
2020-07-15,97.24,309.2,3008.87,195.65,3226.56
2020-07-16,96.04,300.13,2999.9,192.62,3215.57
2020-07-17,95.85,300.17,2961.97,194.2,3224.73
2020-07-20,97.87,328.6,3196.84,197.57,3251.84
2020-07-21,96.51,313.67,3138.29,195.58,3257.3
2020-07-22,96.79,318.47,3099.91,197.95,3276.02
2020-07-23,92.38,302.61,2986.55,196.53,3235.66
2020-07-24,92.15,283.4,3008.91,194.26,3215.63
2020-07-27,94.34,307.92,3055.21,196.01,3239.41
2020-07-28,92.79,295.3,3000.33,195.84,3218.44
2020-07-29,94.56,299.82,3033.53,197.68,3258.44
2020-07-30,95.71,297.5,3051.88,193.18,3246.22
2020-07-31,105.73,286.15,3164.68,189.53,3271.12
2020-08-03,108.39,297,3111.89,189.82,3294.61
2020-08-04,109.12,297.4,3138.83,191.41,3306.51
2020-08-05,109.51,297,3205.03,195.21,3327.77
2020-08-06,113.33,297.92,3225,197.86,3349.16
2020-08-07,110.76,290.54,3167.46,195.47,3351.28
2020-08-10,112.37,283.71,3148.16,195.89,3360.47
2020-08-11,109.02,274.88,3080.67,196.87,3333.69
2020-08-12,112.65,310.95,3162.24,197.83,3380.35
2020-08-13,114.64,324.2,3161.02,196.98,3373.43
2020-08-14,114.54,330.14,3148.02,196.04,3372.85
2020-08-17,114.24,367.13,3182.41,198.82,3381.99
2020-08-18,115.19,377.42,3312.49,198.4,3389.78
2020-08-19,115.34,375.71,3260.48,200.38,3374.85
2020-08-20,117.9,400.37,3297.37,203.53,3385.51
2020-08-21,123.97,410,3284.72,203.51,3397.16
2020-08-24,125.45,402.84,3307.46,205.78,3431.28
2020-08-25,124.42,404.67,3346.49,207.46,3443.62
2020-08-26,126.12,430.63,3441.85,209.62,3478.73
2020-08-27,124.61,447.75,3400,210.39,3484.55
2020-08-28,124.41,442.68,3401.8,215.05,3508.01
2020-08-31,128.63,498.32,3450.96,211.34,3500.31
2020-09-01,133.75,475.05,3499.12,212.7,3526.65
2020-09-02,130.98,447.37,3531.45,215.82,3580.84
2020-09-03,120.49,407,3368,208.32,3455.06
2020-09-04,120.57,418.32,3294.62,204.04,3426.96
2020-09-08,112.46,330.21,3149.84,199.51,3331.84
2020-09-09,116.94,366.28,3268.61,203.44,3398.96
2020-09-10,113.13,371.34,3175.11,200.92,3339.19
2020-09-11,111.64,372.72,3116.22,200.07,3340.97
2020-09-14,114.99,419.62,3102.97,204.35,3383.54
2020-09-15,115.17,449.76,3156.13,204.76,3401.2
2020-09-16,111.77,441.76,3078.1,204.5,3385.49
2020-09-17,109.99,423.43,3008.73,204.64,3357.01
2020-09-18,106.5,442.15,2954.91,201.99,3319.47
2020-09-21,109.73,449.39,2960.47,196.85,3281.06
2020-09-22,111.45,424.23,3128.99,199.95,3315.57
2020-09-23,106.78,380.36,2999.86,194.77,3236.92
2020-09-24,107.87,387.79,3019.79,194.92,3246.59
2020-09-25,111.92,407.34,3095.13,196.65,3298.46
2020-09-28,114.59,421.2,3174.05,199.71,3351.6
2020-09-29,113.72,419.07,3144.88,198.83,3335.47
2020-09-30,115.44,429.01,3148.73,199.36,3363
2020-10-01,116.41,448.16,3221.26,202.73,3380.8
2020-10-02,112.66,415.09,3125,200.85,3348.42
2020-10-05,116.13,425.68,3199.2,202.92,3408.6
2020-10-06,112.8,413.98,3099.96,199.84,3360.97
2020-10-07,114.71,425.3,3195.69,201.85,3419.44
2020-10-08,114.6,425.92,3190.55,202.36,3446.83
2020-10-09,116.59,434,3286.65,206.01,3477.14
2020-10-12,124,442.3,3442.93,205.77,3534.22
2020-10-13,120.71,446.65,3443.63,203.7,3511.93
2020-10-14,120.8,461.3,3363.71,201.58,3488.67
2020-10-15,120.32,448.88,3338.65,198.94,3483.34
2020-10-16,118.64,439.67,3272.71,199.65,3483.81
2020-10-19,115.61,430.83,3207.21,196.37,3426.92
2020-10-20,117.13,421.94,3217.01,197.1,3443.12
2020-10-21,116.49,422.64,3184.94,197.82,3435.56
2020-10-22,115.38,425.79,3176.4,197.39,3453.49
2020-10-23,114.67,420.63,3204.4,197.41,3465.39
2020-10-26,114.68,420.28,3207.04,192.48,3400.97
2020-10-27,116.23,424.68,3286.33,189.48,3390.68
2020-10-28,110.84,406.02,3162.78,180.32,3271.03
2020-10-29,114.95,410.83,3211.01,184.31,3310.11
2020-10-30,108.51,388.04,3036.15,181.16,3269.96
2020-11-02,108.42,400.51,3004.48,184.18,3310.24
2020-11-03,110.09,423.9,3048.41,187.77,3369.16
2020-11-04,114.58,420.98,3241.16,193.38,3443.44
2020-11-05,118.65,438.09,3322,197.04,3510.45
2020-11-06,118.51,429.95,3311.37,197.86,3509.44
2020-11-09,116.15,421.26,3143.74,212.03,3550.5
2020-11-10,115.8,410.36,3035.02,212.66,3545.53
2020-11-11,119.31,417.13,3137.39,212.05,3572.66
2020-11-12,119.03,411.76,3110.28,207.94,3537.01
2020-11-13,119.08,408.5,3128.81,210.15,3585.15
2020-11-16,120.12,408.09,3131.06,212.37,3626.91
2020-11-17,119.21,441.61,3135.66,210.38,3609.53
2020-11-18,117.85,486.64,3105.46,207.51,3567.79
2020-11-19,118.46,499.27,3117.02,207.25,3581.87
2020-11-20,117.16,489.61,3099.4,203.56,3557.54
2020-11-23,113.68,521.85,3098.39,207.84,3577.59
2020-11-24,115,555.38,3118.06,209.35,3635.41
2020-11-25,115.86,574,3185.07,210.56,3629.65
2020-11-27,116.42,585.76,3195.34,210.67,3638.35
2020-11-30,118.87,567.6,3168.04,210.02,3621.63
2020-12-01,122.54,584.76,3220.08,210.87,3662.45
2020-12-02,122.9,568.82,3203.53,209.85,3669.01
2020-12-03,122.76,593.38,3186.73,207.73,3666.72
2020-12-04,122.07,599.04,3162.58,212.35,3699.12
2020-12-07,123.57,641.76,3158,212.32,3691.96
2020-12-08,124.19,649.88,3177.29,212.44,3702.25
2020-12-09,121.6,604.48,3104.2,209.26,3672.82
2020-12-10,123.06,627.07,3101.49,207.29,3668.1
2020-12-11,122.23,609.99,3116.42,205.92,3663.46
2020-12-14,121.6,639.83,3156.97,206.93,3647.49
2020-12-15,127.69,633.25,3165.12,208.04,3694.62
2020-12-16,127.62,622.77,3240.96,207.95,3701.17
2020-12-17,128.51,655.9,3236.08,210.85,3722.48
2020-12-18,126.47,695,3201.65,210.98,3709.41
2020-12-21,128.04,649.86,3206.18,208.69,3694.92
2020-12-22,131.68,640.34,3206.52,205.52,3687.26
2020-12-23,130.76,645.98,3185.27,204.98,3690.01
2020-12-24,131.77,661.77,3172.69,208.38,3703.06
2020-12-28,136.49,663.69,3283.96,212.3,3735.36
2020-12-29,134.67,665.99,3322,214.04,3727.04
2020-12-30,133.52,694.78,3285.85,218.02,3732.04